Date,Category,Amount,Payment Method,Vendor/Location,Month,Day of Week,Transaction Count,Cumulative Monthly Spend,Transaction Type,Seasonality Indicator,Historical Spend
2023-11-21 11:53:01.755563,Utilities,83.73,Credit Card,Store B,11,Tuesday,2,389.91,Utilities,Regular,76.85
2023-11-21 11:53:01.755563,Utilities,48.75,Credit Card,Store D,11,Tuesday,2,438.66,Utilities,Regular,83.73
2023-11-21 11:53:01.755563,Transportation,16.36,Cash,Store C,11,Tuesday,1,125.81,Transportation,Regular,30.81
2023-11-21 11:53:01.755563,Miscellaneous,44.88,Mobile Payment,Store E,11,Tuesday,2,95.27000000000001,Miscellaneous,Regular,50.39
2023-11-21 11:53:01.755563,Miscellaneous,84.79,Cash,Store A,11,Tuesday,2,180.06,Miscellaneous,Regular,44.88
2023-11-22 11:53:01.755563,Entertainment,152.76,Mobile Payment,Store A,11,Wednesday,1,962.22,Entertainment,Regular,136.05
2023-11-22 11:53:01.755563,Miscellaneous,11.96,Mobile Payment,Store B,11,Wednesday,1,192.02,Miscellaneous,Regular,84.79
2023-11-23 11:53:01.755563,Miscellaneous,78.81,Debit Card,Store B,11,Thursday,1,270.83000000000004,Miscellaneous,Regular,11.96
2023-11-24 11:53:01.755563,Entertainment,95.12,Credit Card,Store D,11,Friday,1,1057.34,Entertainment,Regular,152.76
2023-11-24 11:53:01.755563,Utilities,70.08,Mobile Payment,Store A,11,Friday,1,508.74,Utilities,Regular,48.75
2023-11-24 11:53:01.755563,Miscellaneous,17.25,Debit Card,Store B,11,Friday,1,288.08000000000004,Miscellaneous,Regular,78.81
2023-11-24 11:53:01.755563,Dining,90.49,Debit Card,Store C,11,Friday,1,646.1899999999999,Takeout,Regular,182.1
2023-11-24 11:53:01.755563,Transportation,22.59,Mobile Payment,Store B,11,Friday,1,148.4,Transportation,Regular,16.36
2023-11-25 11:53:01.755563,Dining,85.6,Debit Card,Store A,11,Saturday,1,731.79,Takeout,Regular,90.49
2023-11-26 11:53:01.755563,Utilities,198.48,Debit Card,Store C,11,Sunday,1,707.22,Utilities,Regular,70.08
2023-11-26 11:53:01.755563,Groceries,143.75,Cash,Store D,11,Sunday,1,830.3399999999999,Groceries,Regular,195.26
2023-11-27 11:53:01.755563,Dining,116.18,Mobile Payment,Store A,11,Monday,2,847.9699999999999,Takeout,Regular,85.6
2023-11-27 11:53:01.755563,Entertainment,160.72,Cash,Store C,11,Monday,2,1218.06,Entertainment,Regular,95.12
2023-11-27 11:53:01.755563,Entertainment,190.66,Mobile Payment,Store C,11,Monday,2,1408.72,Entertainment,Regular,160.72
2023-11-27 11:53:01.755563,Dining,86.41,Mobile Payment,Store B,11,Monday,2,934.38,Takeout,Regular,116.18
2023-11-27 11:53:01.755563,Groceries,98.89,Mobile Payment,Store B,11,Monday,1,929.23,Groceries,Regular,143.75
2023-11-28 11:53:01.755563,Miscellaneous,13.05,Debit Card,Store A,11,Tuesday,2,301.13,Miscellaneous,Regular,17.25
2023-11-28 11:53:01.755563,Utilities,16.14,Credit Card,Store A,11,Tuesday,1,723.36,Utilities,Regular,198.48
2023-11-28 11:53:01.755563,Miscellaneous,174.87,Credit Card,Store A,11,Tuesday,2,476.0,Miscellaneous,Regular,13.05
2023-11-28 11:53:01.755563,Entertainment,136.83,Credit Card,Store C,11,Tuesday,1,1545.55,Entertainment,Regular,190.66
2023-11-28 11:53:01.755563,Dining,165.43,Mobile Payment,Store C,11,Tuesday,1,1099.81,Takeout,Regular,86.41
2023-11-29 11:53:01.755563,Entertainment,72.88,Mobile Payment,Store B,11,Wednesday,1,1618.43,Entertainment,Regular,136.83
2023-11-29 11:53:01.755563,Dining,156.25,Debit Card,Store E,11,Wednesday,2,1256.06,Takeout,Regular,165.43
2023-11-29 11:53:01.755563,Dining,160.9,Mobile Payment,Store B,11,Wednesday,2,1416.96,Takeout,Regular,156.25
2023-11-30 11:53:01.755563,Miscellaneous,155.33,Mobile Payment,Store E,11,Thursday,3,631.33,Miscellaneous,Regular,174.87
2023-11-30 11:53:01.755563,Groceries,135.86,Credit Card,Store E,11,Thursday,2,1065.09,Groceries,Regular,98.89
2023-11-30 11:53:01.755563,Miscellaneous,10.46,Credit Card,Store D,11,Thursday,3,641.7900000000001,Miscellaneous,Regular,155.33
2023-11-30 11:53:01.755563,Groceries,32.45,Debit Card,Store D,11,Thursday,2,1097.54,Groceries,Regular,135.86
2023-11-30 11:53:01.755563,Miscellaneous,29.37,Mobile Payment,Store C,11,Thursday,3,671.1600000000001,Miscellaneous,Regular,10.46
2023-12-01 11:53:01.755563,Entertainment,162.51,Cash,Store E,12,Friday,2,162.51,Entertainment,Holiday,72.88
2023-12-01 11:53:01.755563,Entertainment,156.0,Debit Card,Store B,12,Friday,2,318.51,Entertainment,Holiday,162.51
2023-12-01 11:53:01.755563,Transportation,28.18,Mobile Payment,Store D,12,Friday,1,28.18,Transportation,Holiday,22.59
2023-12-02 11:53:01.755563,Utilities,188.23,Debit Card,Store E,12,Saturday,1,188.23,Utilities,Holiday,16.14
2023-12-02 11:53:01.755563,Groceries,25.77,Mobile Payment,Store A,12,Saturday,1,25.77,Groceries,Holiday,32.45
2023-12-03 11:53:01.755563,Transportation,69.84,Debit Card,Store E,12,Sunday,1,98.02000000000001,Transportation,Holiday,28.18
2023-12-04 11:53:01.755563,Groceries,103.6,Cash,Store C,12,Monday,1,129.37,Groceries,Holiday,25.77
2023-12-04 11:53:01.755563,Utilities,99.7,Mobile Payment,Store B,12,Monday,1,287.93,Utilities,Holiday,188.23
2023-12-04 11:53:01.755563,Dining,46.73,Cash,Store A,12,Monday,1,46.73,Takeout,Holiday,160.9
2023-12-05 11:53:01.755563,Utilities,136.16,Mobile Payment,Store B,12,Tuesday,1,424.09,Utilities,Holiday,99.7
2023-12-05 11:53:01.755563,Groceries,12.75,Debit Card,Store A,12,Tuesday,1,142.12,Groceries,Holiday,103.6
2023-12-05 11:53:01.755563,Entertainment,185.9,Cash,Store B,12,Tuesday,1,504.40999999999997,Entertainment,Holiday,156.0
2023-12-06 11:53:01.755563,Utilities,135.92,Cash,Store E,12,Wednesday,1,560.01,Utilities,Holiday,136.16
2023-12-07 11:53:01.755563,Entertainment,102.95,Debit Card,Store A,12,Thursday,1,607.36,Entertainment,Holiday,185.9
2023-12-07 11:53:01.755563,Dining,18.41,Credit Card,Store B,12,Thursday,3,65.14,Takeout,Holiday,46.73
2023-12-07 11:53:01.755563,Dining,8.41,Cash,Store C,12,Thursday,3,73.55,Takeout,Holiday,18.41
2023-12-07 11:53:01.755563,Dining,68.39,Debit Card,Store E,12,Thursday,3,141.94,Takeout,Holiday,8.41
2023-12-08 11:53:01.755563,Dining,62.07,Cash,Store D,12,Friday,3,204.01,Takeout,Holiday,68.39
2023-12-08 11:53:01.755563,Entertainment,140.77,Mobile Payment,Store C,12,Friday,1,748.13,Entertainment,Holiday,102.95
2023-12-08 11:53:01.755563,Dining,175.42,Credit Card,Store E,12,Friday,3,379.42999999999995,Takeout,Holiday,62.07
2023-12-08 11:53:01.755563,Transportation,22.78,Cash,Store D,12,Friday,1,120.80000000000001,Transportation,Holiday,69.84
2023-12-08 11:53:01.755563,Dining,8.97,Credit Card,Store E,12,Friday,3,388.4,Takeout,Holiday,175.42
2023-12-09 11:53:01.755563,Groceries,151.53,Credit Card,Store D,12,Saturday,1,293.65,Groceries,Holiday,12.75
2023-12-10 11:53:01.755563,Dining,147.85,Mobile Payment,Store C,12,Sunday,1,536.25,Takeout,Holiday,8.97
2023-12-10 11:53:01.755563,Miscellaneous,106.15,Mobile Payment,Store C,12,Sunday,1,106.15,Miscellaneous,Holiday,29.37
2023-12-11 11:53:01.755563,Transportation,67.97,Cash,Store A,12,Monday,2,188.77,Transportation,Holiday,22.78
2023-12-11 11:53:01.755563,Miscellaneous,181.23,Credit Card,Store D,12,Monday,1,287.38,Miscellaneous,Holiday,106.15
2023-12-11 11:53:01.755563,Transportation,147.11,Debit Card,Store C,12,Monday,2,335.88,Transportation,Holiday,67.97
2023-12-11 11:53:01.755563,Utilities,65.54,Credit Card,Store B,12,Monday,1,625.55,Utilities,Holiday,135.92
2023-12-12 11:53:01.755563,Entertainment,169.72,Debit Card,Store D,12,Tuesday,2,917.85,Entertainment,Holiday,140.77
2023-12-12 11:53:01.755563,Entertainment,138.47,Cash,Store E,12,Tuesday,2,1056.32,Entertainment,Holiday,169.72
2023-12-12 11:53:01.755563,Dining,65.68,Cash,Store D,12,Tuesday,1,601.93,Takeout,Holiday,147.85
2023-12-13 11:53:01.755563,Miscellaneous,32.22,Mobile Payment,Store C,12,Wednesday,1,319.6,Miscellaneous,Holiday,181.23
2023-12-14 11:53:01.755563,Transportation,145.94,Debit Card,Store D,12,Thursday,1,481.82000000000005,Transportation,Holiday,147.11
2023-12-14 11:53:01.755563,Dining,64.59,Cash,Store C,12,Thursday,1,666.52,Takeout,Holiday,65.68
2023-12-14 11:53:01.755563,Utilities,118.68,Mobile Payment,Store A,12,Thursday,1,744.23,Utilities,Holiday,65.54
2023-12-15 11:53:01.755563,Entertainment,79.61,Mobile Payment,Store A,12,Friday,1,1135.93,Entertainment,Holiday,138.47
2023-12-16 11:53:01.755563,Transportation,82.61,Mobile Payment,Store D,12,Saturday,2,564.4300000000001,Transportation,Holiday,145.94
2023-12-16 11:53:01.755563,Transportation,199.19,Mobile Payment,Store E,12,Saturday,2,763.62,Transportation,Holiday,82.61
2023-12-16 11:53:01.755563,Utilities,11.63,Cash,Store D,12,Saturday,1,755.86,Utilities,Holiday,118.68
2023-12-17 11:53:01.755563,Utilities,170.91,Cash,Store A,12,Sunday,2,926.77,Utilities,Holiday,11.63
2023-12-17 11:53:01.755563,Dining,31.88,Mobile Payment,Store E,12,Sunday,3,698.4,Takeout,Holiday,64.59
2023-12-17 11:53:01.755563,Dining,120.45,Debit Card,Store D,12,Sunday,3,818.85,Takeout,Holiday,31.88
2023-12-17 11:53:01.755563,Utilities,159.18,Mobile Payment,Store B,12,Sunday,2,1085.95,Utilities,Holiday,170.91
2023-12-17 11:53:01.755563,Dining,35.79,Credit Card,Store E,12,Sunday,3,854.64,Takeout,Holiday,120.45
2023-12-18 11:53:01.755563,Utilities,38.58,Cash,Store E,12,Monday,2,1124.53,Utilities,Holiday,159.18
2023-12-18 11:53:01.755563,Transportation,16.96,Mobile Payment,Store E,12,Monday,1,780.58,Transportation,Holiday,199.19
2023-12-18 11:53:01.755563,Entertainment,8.71,Mobile Payment,Store B,12,Monday,1,1144.64,Entertainment,Holiday,79.61
2023-12-18 11:53:01.755563,Utilities,71.55,Debit Card,Store A,12,Monday,2,1196.08,Utilities,Holiday,38.58
2023-12-19 11:53:01.755563,Miscellaneous,27.44,Debit Card,Store B,12,Tuesday,2,347.04,Miscellaneous,Holiday,32.22
2023-12-19 11:53:01.755563,Entertainment,32.64,Debit Card,Store C,12,Tuesday,1,1177.28,Entertainment,Holiday,8.71
2023-12-19 11:53:01.755563,Miscellaneous,33.37,Credit Card,Store B,12,Tuesday,2,380.40999999999997,Miscellaneous,Holiday,27.44
2023-12-19 11:53:01.755563,Utilities,23.37,Debit Card,Store B,12,Tuesday,1,1219.45,Utilities,Holiday,71.55
2023-12-20 11:53:01.755563,Utilities,136.17,Mobile Payment,Store D,12,Wednesday,1,1355.62,Utilities,Holiday,23.37
2023-12-20 11:53:01.755563,Entertainment,164.5,Mobile Payment,Store B,12,Wednesday,2,1341.78,Entertainment,Holiday,32.64
2023-12-20 11:53:01.755563,Entertainment,175.03,Debit Card,Store A,12,Wednesday,2,1516.81,Entertainment,Holiday,164.5
2023-12-20 11:53:01.755563,Dining,105.93,Cash,Store C,12,Wednesday,1,960.5699999999999,Takeout,Holiday,35.79
2023-12-20 11:53:01.755563,Miscellaneous,174.03,Credit Card,Store E,12,Wednesday,1,554.44,Miscellaneous,Holiday,33.37
2023-12-21 11:53:01.755563,Groceries,36.13,Credit Card,Store B,12,Thursday,1,329.78,Groceries,Holiday,151.53
2023-12-22 11:53:01.755563,Transportation,51.88,Cash,Store C,12,Friday,1,832.46,Transportation,Holiday,16.96
2023-12-23 11:53:01.755563,Dining,188.79,Debit Card,Store E,12,Saturday,2,1149.36,Takeout,Holiday,105.93
2023-12-23 11:53:01.755563,Transportation,199.59,Cash,Store D,12,Saturday,1,1032.05,Transportation,Holiday,51.88
2023-12-23 11:53:01.755563,Miscellaneous,125.38,Debit Card,Store C,12,Saturday,1,679.8199999999999,Miscellaneous,Holiday,174.03
2023-12-23 11:53:01.755563,Dining,193.6,Debit Card,Store E,12,Saturday,2,1342.96,Takeout,Holiday,188.79
2023-12-24 11:53:01.755563,Groceries,138.18,Mobile Payment,Store E,12,Sunday,1,467.96,Groceries,Holiday,36.13
2023-12-24 11:53:01.755563,Entertainment,85.94,Credit Card,Store A,12,Sunday,1,1602.75,Entertainment,Holiday,175.03
2023-12-25 11:53:01.755563,Miscellaneous,159.26,Cash,Store D,12,Monday,2,839.0799999999999,Miscellaneous,Holiday,125.38
2023-12-25 11:53:01.755563,Miscellaneous,11.78,Mobile Payment,Store C,12,Monday,2,850.86,Miscellaneous,Holiday,159.26
2023-12-25 11:53:01.755563,Entertainment,107.52,Cash,Store A,12,Monday,1,1710.27,Entertainment,Holiday,85.94
2023-12-25 11:53:01.755563,Transportation,177.24,Debit Card,Store E,12,Monday,1,1209.29,Transportation,Holiday,199.59
2023-12-25 11:53:01.755563,Groceries,148.3,Cash,Store D,12,Monday,1,616.26,Groceries,Holiday,138.18
2023-12-26 11:53:01.755563,Dining,76.22,Debit Card,Store D,12,Tuesday,3,1419.18,Takeout,Holiday,193.6
2023-12-26 11:53:01.755563,Groceries,112.67,Cash,Store A,12,Tuesday,1,728.93,Groceries,Holiday,148.3
2023-12-26 11:53:01.755563,Entertainment,35.93,Cash,Store D,12,Tuesday,1,1746.2,Entertainment,Holiday,107.52
2023-12-26 11:53:01.755563,Dining,198.92,Mobile Payment,Store D,12,Tuesday,3,1618.1,Takeout,Holiday,76.22
2023-12-26 11:53:01.755563,Dining,48.3,Debit Card,Store C,12,Tuesday,3,1666.3999999999999,Takeout,Holiday,198.92
2023-12-27 11:53:01.755563,Groceries,31.81,Credit Card,Store D,12,Wednesday,2,760.74,Groceries,Holiday,112.67
2023-12-27 11:53:01.755563,Dining,132.31,Credit Card,Store A,12,Wednesday,1,1798.71,Takeout,Holiday,48.3
2023-12-27 11:53:01.755563,Utilities,168.45,Credit Card,Store B,12,Wednesday,2,1524.07,Utilities,Holiday,136.17
2023-12-27 11:53:01.755563,Groceries,91.6,Debit Card,Store A,12,Wednesday,2,852.34,Groceries,Holiday,31.81
2023-12-27 11:53:01.755563,Utilities,105.01,Mobile Payment,Store C,12,Wednesday,2,1629.08,Utilities,Holiday,168.45
2023-12-28 11:53:01.755563,Groceries,172.89,Mobile Payment,Store A,12,Thursday,1,1025.23,Groceries,Holiday,91.6
2023-12-29 11:53:01.755563,Miscellaneous,142.36,Credit Card,Store A,12,Friday,1,993.22,Miscellaneous,Holiday,11.78
2023-12-30 11:53:01.755563,Dining,139.68,Mobile Payment,Store D,12,Saturday,2,1938.3899999999999,Takeout,Holiday,132.31
2023-12-30 11:53:01.755563,Dining,154.14,Cash,Store D,12,Saturday,2,2092.5299999999997,Takeout,Holiday,139.68
2023-12-30 11:53:01.755563,Transportation,46.4,Debit Card,Store B,12,Saturday,1,1255.69,Transportation,Holiday,177.24
2023-12-30 11:53:01.755563,Utilities,154.32,Mobile Payment,Store D,12,Saturday,1,1783.4,Utilities,Holiday,105.01
2023-12-30 11:53:01.755563,Groceries,113.32,Debit Card,Store C,12,Saturday,1,1138.55,Groceries,Holiday,172.89
2023-12-31 11:53:01.755563,Entertainment,174.45,Debit Card,Store B,12,Sunday,2,1920.65,Entertainment,Holiday,35.93
2023-12-31 11:53:01.755563,Entertainment,34.67,Mobile Payment,Store D,12,Sunday,2,1955.32,Entertainment,Holiday,174.45
2023-12-31 11:53:01.755563,Dining,150.33,Mobile Payment,Store A,12,Sunday,1,2242.86,Takeout,Holiday,154.14
2023-12-31 11:53:01.755563,Utilities,72.36,Cash,Store B,12,Sunday,1,1855.76,Utilities,Holiday,154.32
2024-01-01 11:53:01.755563,Utilities,49.95,Mobile Payment,Store A,1,Monday,1,49.95,Utilities,Regular,72.36
2024-01-01 11:53:01.755563,Entertainment,135.18,Debit Card,Store D,1,Monday,1,135.18,Entertainment,Regular,34.67
2024-01-01 11:53:01.755563,Transportation,42.89,Debit Card,Store E,1,Monday,1,42.89,Transportation,Regular,46.4
2024-01-01 11:53:01.755563,Groceries,21.75,Cash,Store B,1,Monday,1,21.75,Groceries,Regular,113.32
2024-01-02 11:53:01.755563,Groceries,102.84,Mobile Payment,Store E,1,Tuesday,1,124.59,Groceries,Regular,21.75
2024-01-02 11:53:01.755563,Miscellaneous,139.48,Credit Card,Store A,1,Tuesday,1,139.48,Miscellaneous,Regular,142.36
2024-01-02 11:53:01.755563,Utilities,55.8,Mobile Payment,Store C,1,Tuesday,2,105.75,Utilities,Regular,49.95
2024-01-02 11:53:01.755563,Utilities,22.77,Credit Card,Store B,1,Tuesday,2,128.52,Utilities,Regular,55.8
2024-01-03 11:53:01.755563,Entertainment,194.43,Credit Card,Store E,1,Wednesday,1,329.61,Entertainment,Regular,135.18
2024-01-03 11:53:01.755563,Transportation,46.64,Debit Card,Store D,1,Wednesday,1,89.53,Transportation,Regular,42.89
2024-01-03 11:53:01.755563,Miscellaneous,194.46,Debit Card,Store A,1,Wednesday,1,333.94,Miscellaneous,Regular,139.48
2024-01-04 11:53:01.755563,Utilities,146.45,Credit Card,Store D,1,Thursday,1,274.97,Utilities,Regular,22.77
2024-01-04 11:53:01.755563,Miscellaneous,131.88,Cash,Store B,1,Thursday,1,465.82,Miscellaneous,Regular,194.46
2024-01-04 11:53:01.755563,Groceries,117.72,Credit Card,Store C,1,Thursday,1,242.31,Groceries,Regular,102.84
2024-01-05 11:53:01.755563,Utilities,105.94,Mobile Payment,Store C,1,Friday,1,380.90999999999997,Utilities,Regular,146.45
2024-01-05 11:53:01.755563,Transportation,62.71,Cash,Store E,1,Friday,1,152.24,Transportation,Regular,46.64
2024-01-05 11:53:01.755563,Miscellaneous,119.39,Credit Card,Store A,1,Friday,1,585.21,Miscellaneous,Regular,131.88
2024-01-05 11:53:01.755563,Dining,107.97,Debit Card,Store D,1,Friday,1,107.97,Takeout,Regular,150.33
2024-01-06 11:53:01.755563,Dining,52.99,Mobile Payment,Store A,1,Saturday,1,160.96,Takeout,Regular,107.97
2024-01-06 11:53:01.755563,Transportation,117.76,Mobile Payment,Store A,1,Saturday,1,270.0,Transportation,Regular,62.71
2024-01-07 11:53:01.755563,Utilities,102.22,Mobile Payment,Store A,1,Sunday,1,483.13,Utilities,Regular,105.94
2024-01-07 11:53:01.755563,Groceries,154.17,Credit Card,Store A,1,Sunday,1,396.48,Groceries,Regular,117.72
2024-01-08 11:53:01.755563,Transportation,166.11,Cash,Store B,1,Monday,1,436.11,Transportation,Regular,117.76
2024-01-08 11:53:01.755563,Dining,124.43,Mobile Payment,Store E,1,Monday,1,285.39,Takeout,Regular,52.99
2024-01-09 11:53:01.755563,Utilities,149.78,Debit Card,Store E,1,Tuesday,1,632.91,Utilities,Regular,102.22
2024-01-09 11:53:01.755563,Transportation,168.32,Mobile Payment,Store B,1,Tuesday,1,604.4300000000001,Transportation,Regular,166.11
2024-01-10 11:53:01.755563,Entertainment,172.04,Debit Card,Store B,1,Wednesday,1,501.65,Entertainment,Regular,194.43
2024-01-10 11:53:01.755563,Miscellaneous,85.74,Credit Card,Store B,1,Wednesday,1,670.95,Miscellaneous,Regular,119.39
2024-01-11 11:53:01.755563,Transportation,184.44,Debit Card,Store D,1,Thursday,1,788.87,Transportation,Regular,168.32
2024-01-11 11:53:01.755563,Miscellaneous,45.42,Cash,Store C,1,Thursday,1,716.37,Miscellaneous,Regular,85.74
2024-01-11 11:53:01.755563,Entertainment,31.56,Mobile Payment,Store C,1,Thursday,1,533.21,Entertainment,Regular,172.04
2024-01-12 11:53:01.755563,Miscellaneous,75.03,Cash,Store A,1,Friday,1,791.4,Miscellaneous,Regular,45.42
2024-01-12 11:53:01.755563,Transportation,142.48,Credit Card,Store A,1,Friday,1,931.35,Transportation,Regular,184.44
2024-01-12 11:53:01.755563,Utilities,56.39,Credit Card,Store B,1,Friday,2,689.3,Utilities,Regular,149.78
2024-01-12 11:53:01.755563,Utilities,16.41,Mobile Payment,Store A,1,Friday,2,705.71,Utilities,Regular,56.39
2024-01-13 11:53:01.755563,Miscellaneous,61.38,Cash,Store C,1,Saturday,1,852.78,Miscellaneous,Regular,75.03
2024-01-13 11:53:01.755563,Entertainment,163.65,Cash,Store C,1,Saturday,1,696.86,Entertainment,Regular,31.56
2024-01-14 11:53:01.755563,Entertainment,134.55,Mobile Payment,Store B,1,Sunday,1,831.4100000000001,Entertainment,Regular,163.65
2024-01-14 11:53:01.755563,Miscellaneous,179.23,Mobile Payment,Store C,1,Sunday,1,1032.01,Miscellaneous,Regular,61.38
2024-01-15 11:53:01.755563,Transportation,118.99,Credit Card,Store E,1,Monday,1,1050.34,Transportation,Regular,142.48
2024-01-15 11:53:01.755563,Dining,121.57,Cash,Store C,1,Monday,1,406.96000000000004,Takeout,Regular,124.43
2024-01-16 11:53:01.755563,Groceries,132.03,Debit Card,Store A,1,Tuesday,3,528.51,Groceries,Regular,154.17
2024-01-16 11:53:01.755563,Entertainment,179.91,Cash,Store C,1,Tuesday,1,1011.32,Entertainment,Regular,134.55
2024-01-16 11:53:01.755563,Groceries,184.0,Cash,Store A,1,Tuesday,3,712.51,Groceries,Regular,132.03
2024-01-16 11:53:01.755563,Groceries,71.08,Debit Card,Store E,1,Tuesday,3,783.59,Groceries,Regular,184.0
2024-01-17 11:53:01.755563,Utilities,6.13,Cash,Store B,1,Wednesday,1,711.84,Utilities,Regular,16.41
2024-01-18 11:53:01.755563,Dining,45.67,Debit Card,Store D,1,Thursday,1,452.63,Takeout,Regular,121.57
2024-01-18 11:53:01.755563,Miscellaneous,64.97,Mobile Payment,Store C,1,Thursday,3,1096.98,Miscellaneous,Regular,179.23
2024-01-18 11:53:01.755563,Miscellaneous,111.62,Credit Card,Store E,1,Thursday,3,1208.6,Miscellaneous,Regular,64.97
2024-01-18 11:53:01.755563,Miscellaneous,59.47,Credit Card,Store D,1,Thursday,3,1268.07,Miscellaneous,Regular,111.62
2024-01-18 11:53:01.755563,Entertainment,149.79,Debit Card,Store D,1,Thursday,1,1161.1100000000001,Entertainment,Regular,179.91
2024-01-19 11:53:01.755563,Transportation,53.27,Mobile Payment,Store D,1,Friday,1,1103.61,Transportation,Regular,118.99
2024-01-19 11:53:01.755563,Utilities,126.52,Mobile Payment,Store E,1,Friday,1,838.36,Utilities,Regular,6.13
2024-01-19 11:53:01.755563,Dining,33.82,Cash,Store C,1,Friday,1,486.45,Takeout,Regular,45.67
2024-01-20 11:53:01.755563,Groceries,127.47,Credit Card,Store C,1,Saturday,3,911.06,Groceries,Regular,71.08
2024-01-20 11:53:01.755563,Entertainment,157.06,Mobile Payment,Store A,1,Saturday,1,1318.17,Entertainment,Regular,149.79
2024-01-20 11:53:01.755563,Groceries,100.63,Mobile Payment,Store D,1,Saturday,3,1011.6899999999999,Groceries,Regular,127.47
2024-01-20 11:53:01.755563,Groceries,97.58,Cash,Store B,1,Saturday,3,1109.27,Groceries,Regular,100.63
2024-01-20 11:53:01.755563,Transportation,120.09,Mobile Payment,Store E,1,Saturday,1,1223.7,Transportation,Regular,53.27
2024-01-21 11:53:01.755563,Miscellaneous,66.4,Mobile Payment,Store D,1,Sunday,1,1334.47,Miscellaneous,Regular,59.47
2024-01-22 11:53:01.755563,Groceries,139.06,Cash,Store C,1,Monday,1,1248.33,Groceries,Regular,97.58
2024-01-22 11:53:01.755563,Utilities,157.37,Cash,Store B,1,Monday,2,995.73,Utilities,Regular,126.52
2024-01-22 11:53:01.755563,Utilities,37.89,Credit Card,Store E,1,Monday,2,1033.6200000000001,Utilities,Regular,157.37
2024-01-23 11:53:01.755563,Dining,14.38,Cash,Store C,1,Tuesday,1,500.83,Takeout,Regular,33.82
2024-01-23 11:53:01.755563,Groceries,98.01,Credit Card,Store B,1,Tuesday,1,1346.34,Groceries,Regular,139.06
2024-01-24 11:53:01.755563,Entertainment,31.65,Debit Card,Store A,1,Wednesday,1,1349.82,Entertainment,Regular,157.06
2024-01-24 11:53:01.755563,Dining,182.23,Mobile Payment,Store D,1,Wednesday,1,683.06,Takeout,Regular,14.38
